# EMAIL_ID	 Num_New_Words	 New_Words_List
# NOTE: new words are counted per email, so duplicates in the same email are listed multiple times

000-273-spam.eml	 2	 ['184952', '114819']
000-275-spam.eml	 3	 ['182245', '142250', '142250']
000-276-spam.eml	 4	 ['021052', '221140', '221140', '221140']
000-278-spam.eml	 3	 ['203154', '002658', '162558']
000-279-spam.eml	 2	 ['053831', '053825']
000-280-spam.eml	 40	 ['poolflagtelecomcom', '6221615111', '2561', '060722', '210906', 'chris', 'landers', 'hwli0330com', 'chris', 'landers', 'hwli0330com', '997540989200604280013010330com', 'genagrouchocsepsuedu', '079', '212', 'gain', '016', '2540', 'promised', 'tommorow', 'thru', 'weekend', 'campaings', 'unique', 'application', 'proved', 'basin', 'situated', 'completion', 'structure', 'completion', 'closure', 'optimal', 'exploitation', '1200', 'ant', 'hills', 'niobrara', 'county', 'wyoming']
000-282-spam.eml	 1	 ['075306']
000-283-spam.eml	 38	 ['dslmpdynamic06913914459airtelbroadbandin', '3ebf3558', '5914413969', '36974', '075811', '19216815', '5914413969', 'copperspecialcom', '872', 'iyt56597', 'melisacolossuscsepsuedu', '010021', '979t966b1906417copperspecialcom', 'sbestowalheft', 'dcopperspecialcom', 'bu3xsbdyzi6t6xbz13wuft2kxzo9larodl3hbljekqzpoq3y40risbfzr9jleg7db0qid1etxivfuijvn', '010021', 'tess', 'elepvgwmjeigscronlinecom', 'mariecolossuscsepsuedu', '32220506822', 'elepvgwmjeigscronlinecom', 'copperspecialcom', 'boundary002dragon428520329725', '002dragon428520329725', 'stinky', 'retina', 'threesome', 'mario', 'alvin', '002dragon428520329725', 'titlegolightly', 'kenzietitle', 'hrefhttpwwwfinphamecomindexphpidkup', 'op', 'bsitebr', 'hrefhttpwwwkkmedsacomsjkhtml', '002dragon428520329725']
000-284-spam.eml	 3	 ['211115', '171204', '171204']
000-285-spam.eml	 3	 ['131855', '101621', '091421']
000-286-spam.eml	 1	 ['135611']
000-288-spam.eml	 2	 ['124949', '172735']
000-289-spam.eml	 20	 ['21121915638', '143119', '18419211720', '21121915638', '152353', 'zuahimfvxlgxxtmyznlochsfvms75hinetnet', 'xq', 'yezgsms75hinetnet', 'xq', 'princtdms75hinetnet', 'tameragrouchocsepsuedu', 'coqvfh', '085413', '55265021', 'titleb5ltitle', '0508652t3dbodys3d2emailrenegrouchocsepsuedu', 'href3dhttpwwwcoq10comtw', 'src3dhttphomeanetnettwdma03950508652coq10edmgif', '3d800', 'height3d445']
000-292-spam.eml	 38	 ['dslmpdynamic06913914459airtelbroadbandin', '3ebf3558', '5914413969', '36974', '023155', '19216815', '5914413969', 'copperspecialcom', '872', 'iyt56597', 'melisacolossuscsepsuedu', '193405', '979t966b1906417copperspecialcom', 'sbestowalheft', 'dcopperspecialcom', 'bu3xsbdyzi6t6xbz13wuft2kxzo9larodl3hbljekqzpoq3y40risbfzr9jleg7db0qid1etxivfuijvn', '193405', 'tess', 'elepvgwmjeigscronlinecom', 'mariecolossuscsepsuedu', '32220506822', 'elepvgwmjeigscronlinecom', 'copperspecialcom', 'boundary002dragon428520329725', '002dragon428520329725', 'stinky', 'retina', 'threesome', 'mario', 'alvin', '002dragon428520329725', 'titlegolightly', 'kenzietitle', 'hrefhttpwwwfinphamecomindexphpidkup', 'op', 'bsitebr', 'hrefhttpwwwkkmedsacomsjkhtml', '002dragon428520329725']
000-293-spam.eml	 30	 ['imail3innerhostcom', '211511787', 'dec', '035134', '000401c6756011ddda20a4c1cefaqlxl', 'oowumhxybaxis21com', 'almagrouchocsepsuedu', 'fw', 'dec', '205241', 'prosperous', 'admiration', 'deg', 'rees', 'established', 'pres', 'tigious', 'leading', 'promotion', 'social', 'advancement', 'eliminates', 'classrooms', 'traveling', 'achieve', 'expertise', 'affordable', 'uation', 'returned', 'promptly']
000-295-spam.eml	 30	 ['imail3innerhostcom', '211511787', 'dec', '020234', '000401c6756011ddda20a4c1cefaqlxl', 'oowumhxybaxis21com', 'almagrouchocsepsuedu', 'fw', 'dec', '190341', 'prosperous', 'admiration', 'deg', 'rees', 'established', 'pres', 'tigious', 'leading', 'promotion', 'social', 'advancement', 'eliminates', 'classrooms', 'traveling', 'achieve', 'expertise', 'affordable', 'uation', 'returned', 'promptly']
000-296-spam.eml	 12	 ['1410138210xf2iijnet', '2101381014', '141105', '142203', 'donna', 'nguyen', 'hubert02netcom', 'donna', 'nguyen', 'hubert02netcom', '95283641852014051607091702netcom', 'hilarygrouchocsepsuedu']
000-299-spam.eml	 76	 ['6818664165dhcpknwkwachartercom', '6818664165', '102944', 'holepeternixonnet', '20268384', 'heloantedatevergenetnet', 'smtp7cistronnl', '1aq6ih2172cr00', '173037', '172537', '4183b67c7383907dismissalpeternixonnet', 'randy', 'chen', 'yqethdetfyponcom', 'edwingrouchocsepsuedu', 'j2', 'voicemail', 'nt', '51', 'rv15', 'gecko20031013', 'thunderbird03', 'xacceptlanguage', 'httpmardoncelinfo', 'chatham', 'everywhere', 'cadmium', 'cypriot', 'aspidistra', 'muskoxen', 'guaranteeing', 'marble', 'flank', 'holeable', 'purgatory', 'aubrey', 'tomato', 'adagio', 'disneyland', 'filamentary', 'arrogant', 'quinn', 'canvass', 'cowardice', 'apartheid', 'diathermy', 'ping', 'sibilant', 'missy', 'lechery', 'bloomfield', 'hysteric', 'gear', 'quasiperiodic', 'votive', 'fortran', 'mooney', 'pummel', 'yaounde', 'contextual', 'bronchiole', 'concocter', 'alicia', 'forswear', 'blameworthy', 'firepower', 'cameron', 'fancy', 'contrariwise', 'photon', 'chronicle', 'appian', 'electrify', 'diploid', 'syncopate', 'landlord']
001-000-spam.eml	 67	 ['601048103', '601048103', '2635', '205911', '152228170193', '235955', 'rsplmhzmzxjoctrryvlyokoreacom', 'qiybvwdrgyahoocom', 'qiybvwdrgyahoocom', 'leighgrouchocsepsuedu', '1926', '091852', 'qualcomm', 'eudora', '51', 'boundary9972286006800668', '9972286006800668', 'color3dff0080fontstrongnbspdiv', 'color3d00006afont', 'color3dff0080nbspb9cfc0bb', 'color3d008080bcf6', 'c0d6b4c2fontnbspfontfont', 'color3d00c4', 'c4b1dd', 'c0b6b0e8c0bb', 'c3a3c0b8bdcab4cfb1eefontstrongdiv', 'color3dff0080fontstrongnbspdiv', 'color3da8a800nbspb9cfc0bdb0fa', 'bdc5b7dabc', 'd3bfa1', 'c8aebdc7c7cfb0ed', 'bafcb8a5', 'b1ddc0b6fontstron', 'gdiv', 'color3dff0080nbspbest', 'nbsploan', 'systemfontstrongdiv', 'color3d00c4c4nbspc1f7', 'c0e5', 'c0cec7f6b1dd', 'bcadbaf1bdbafontstrongdiv', 'color3dff0000fontnbspdiv', 'color3dff0080nbspbest', 'loanfontstrongd', 'color3da8a800nbspc4ab', 'b5e5', 'bcd2c1f6c0da', 'c6afbab0', 'bfacc3a4fontstrongdiv', 'color3dff0080fontnbspdiv', 'color3dff7575nbspc0fcb1b9', 'beeeb5f0bcadb3', 'aa', 'b4e7c0cf', 'b0a1b4c9c7d5b4cfb4d9fontstrongdiv', 'color3d0000ffnbspa', 'href3dhttpmyhomenavercomjxchwk', 'cwqf33512a5html', 'target3dblankstrongfont', 'color3d00006afont', 'color3d00c4c4bdc5', 'c3bbc0bafont', 'color3dff0080bfa9b1e2fontfontfont', 'color3d00c4c4b8a6', 'c3a3bec6c1d6bdcabdc3bfc0fontstrongafontdiv', 'color3dff0080fontstrongnbspdiv', '9972286006800668']
001-003-spam.eml	 35	 ['mailmvqbcom', '222169176225', '100012', '27627', '510', '151925', '151925', '2006050410081427626qmailmailmvqbcom', '86iso2022jpbgyrcs3wkryq5gyhc', 'xylitolmvqbcom', 'caragrouchocsepsuedu', 'bacs9ajjjg8cfg9b', 'prb6ajnmcnlkhp7accf2hk5ciijkb', 'b7ac9g6ago6ajnmc18cjsjmck8fbicfb', 'b8flfkm4nsglfksjbbcfaa7jikhfnhkb', 'bjklarej9f7fbnm8fkhwhxjk8t4vnb', 'b3dllkpmhlpjtnckna0gjk7fg9b', 'b3sjdn4jr3pf5b', 'httpwwwtbxqcomtomoe', 'bhbymmb27bmb', 'id156216', 'bzulc57zzzzyb', 'bzbcazzzzzb', 'bzd944ukzzzyyb', 'bzvgcazzzzyb', 'bzakuiub5b7nb07bfb23bb59bgb', 'byvyvyvyvyvb', 'bbpbandbpd9hbgbgbgjg8b', 'bz90kwh2qcfbhb7b', 'b4jc1epokfl5nan7qcg2q9b', 'bjsg5olj0lhccab', 'bzbpgbpmhki0b4b', 'bbams9tf0ginjkbtcjb', 'bddo3aig4j79b', 'canceltbxqcom']
001-008-spam.eml	 12	 ['1410138210xf2iijnet', '2101381014', '172828', '173926', 'donna', 'nguyen', 'hubert02netcom', 'donna', 'nguyen', 'hubert02netcom', '95283641852014051607091702netcom', 'hilarygrouchocsepsuedu']
001-009-spam.eml	 35	 ['mailmvqbcom', '222169176225', '002403', '27627', '510', '054316', '054316', '2006050410081427626qmailmailmvqbcom', '86iso2022jpbgyrcs3wkryq5gyhc', 'xylitolmvqbcom', 'caragrouchocsepsuedu', 'bacs9ajjjg8cfg9b', 'prb6ajnmcnlkhp7accf2hk5ciijkb', 'b7ac9g6ago6ajnmc18cjsjmck8fbicfb', 'b8flfkm4nsglfksjbbcfaa7jikhfnhkb', 'bjklarej9f7fbnm8fkhwhxjk8t4vnb', 'b3dllkpmhlpjtnckna0gjk7fg9b', 'b3sjdn4jr3pf5b', 'httpwwwtbxqcomtomoe', 'bhbymmb27bmb', 'id156216', 'bzulc57zzzzyb', 'bzbcazzzzzb', 'bzd944ukzzzyyb', 'bzvgcazzzzyb', 'bzakuiub5b7nb07bfb23bb59bgb', 'byvyvyvyvyvb', 'bbpbandbpd9hbgbgbgjg8b', 'bz90kwh2qcfbhb7b', 'b4jc1epokfl5nan7qcg2q9b', 'bjsg5olj0lhccab', 'bzbpgbpmhki0b4b', 'bbams9tf0ginjkbtcjb', 'bddo3aig4j79b', 'canceltbxqcom']
001-010-spam.eml	 51	 ['206329784revgaolandnet', 'hosteccom', '849732206', '190014', '000001c66eab882c5eb02824a8c0wbj21', 'layton', 'temple', 'templlaytefforg', 'layton', 'temple', 'templlaytefforg', 'fayegrouchocsepsuedu', 'vtagfra', '115911', 'boundarynextpart000000101c66e70dbcd86b0', 'nextpart000000101c66e70dbcd86b0', 'httpwwwtriesuitecom', 'forest', 'streams', 'springs', 'road20', 'mirkwood', 'dangerous', 'he20', 'water', 'easy', 'nuts', 'nuts', 'food20', 'queer', 'savage', 'nextpart000000101c66e70dbcd86b0', 'href3dhttpwwwtriesuitecomhttpwwwtriesuitecomadiv', 'divside', 'forest', 'streams', 'springs', 'road', 'brbut', 'mirkwood', 'dangerous', 'brsaid', 'water', 'easy', 'brcome', 'nuts', 'nuts', 'brin', 'queer', 'savage', 'nextpart000000101c66e70dbcd86b0']
001-013-spam.eml	 98	 ['18611922480useraunanet', 'itgnet', '80224119186', '3003', '053833', '000001c66b12c9d76e00f11da8c0bpc8', 'alis', 'rife', 'alisuwvauditorcom', 'alis', 'rife', 'alisuwvauditorcom', 'atmbten', '223837', 'boundarynextpart000000101c66ad81d7b0700', 'nextpart000000101c66ad81d7b0700', 'httpwwwbreitenortcom', 'embarras', 'pollinatio', 'ratapla', 'bluste', 'commut', 'bourne', 'raced', 'then20', 'plummeting', 'carloss', 'van20', 'raised', 'weapon', 'grass', 'jackals', 'man20', 'believed', 'fusillade', 'accurate', 'appeared', 'jason', 'squeezed', 'trigger20', 'russian', 'backup', 'death', 'cry', 'van20', 'nextpart000000101c66ad81d7b0700', 'face3darialvfont', 'color3dccef1a', 'color3dccef1a', 'color3dccef1a', 'color3dccef1a', 'color3dccef1a', 'color3dccef1a', 'color3dd9eb1f', 'color3dd9eb1f', 'color3dd9eb1f', 'color3dd9eb1f', 'color3dd9eb1f', 'color3dd9eb1f', 'color3dcae824', 'color3dcae824', 'color3dcae824', 'color3dcae824', 'color3dcae824', 'color3dc8e715', 'color3dc8e715', 'color3dc8e715', 'color3dc8e715', 'color3dc8e715', 'color3dc8e715', 'href3dhttpwwwbreitenortcomhttpwwwbreitenortcomafont', 'color3dd4f520embarrasfontdiv', 'color3dd4f520pollinatiofontdiv', 'color3dd4f520rataplafontdiv', 'color3dd4f520blustefontdiv', 'color3dd4f520commutfontdiv', 'bourne', 'raced', 'brplummeting', 'carloss', 'brhe', 'raised', 'weapon', 'grass', 'jackals', 'brbelieved', 'fusillade', 'accurate', 'appeared', 'brno', 'jason', 'squeezed', 'trigger', 'russian', 'backup', 'death', 'cry', 'nextpart000000101c66ad81d7b0700']
001-014-spam.eml	 10	 ['22120015375', '3001', '130516', 'adamgrouchocsepsuedu', 'iso2022jpbqvnedasyahoocojp', 'iso2022jpbgyrcsxbnjkvbivottpkjsohpcvrjtklpye8ivsbkei', 'dasyahoocojp', 'bdcqj29mkjj9gw3p2qnacs9b', 'httpbeautifulwifecombuyuden', 'xin0wallacom']
001-015-spam.eml	 30	 ['nata12qwertyru', '872401537', '230608', '000001c679f1b0fba9800100007flocalhost', 'martinez', 'albertomezzettiledvertisingcom', 'adriangrouchocsepsuedu', '030759', 'boundarynextpart000000101c679f1b0fba980', 'nextpart000000101c679f1b0fba980', 'nextpart000000101c679f1b0fba980', 'href3dhttpokredmilocom', 'href3dhttpokredmilocom', 'href3dhttpokredmilocom', 'href3dhttpokredmilocom', 'href3dhttpokredmilocom', 'href3dhttpokredmilocom', 'href3dhttpokredmilocom', 'href3dhttpokredmilocom', 'href3dhttpokredmilocom', 'href3dhttpokredmilocom', 'href3dhttpokredmilocom', 'href3dhttpokredmilocom', 'href3dhttpokredmilocom', 'href3dhttpokredmilocom', 'href3dhttpokredmilocom', 'href3dhttpokredmilocom', 'href3dhttpokredmilocom', 'href3dhttpokredmilocom', 'nextpart000000101c679f1b0fba980']
001-016-spam.eml	 83	 ['2198725029statictfnnettw', '1688f54k9jlksm', '2198725029', '3003', '030346', 'patty', 'frederick', 'tlsupportthomsoncom', 'adriangrouchocsepsuedu', 'c0nsidered', 'randy', 'nyse', 'd011ars', '030447', '60028001478', '60028001478', 'voip', 'izon', 'infrastructure', 'capacity', 'inzon', 'izon', 'izon', 'inzon', 'migration', 'delray', 'beach', 'flabusiness', 'wiremay', '2006inzon', 'otcbbizon', 'global', 'telecommunication', 'participant', 'voip', 'wholesale', 'migration', 'entirety', 'global', 'voip', 'wholly', 'owned', 'partial', 'clip', 'asap', 'inzons', 'levy', 'delighted', 'achievement', 'substantially', 'boost', 'margins', 'infrastructure', 'capacity', 'statements', 'meaning', 'section', '27a', '1933', 'section', '21b', 'sec', '1934', 'statements', 'involve', 'respect', 'projections', 'events', 'statements', 'statements', 'registered', 'exchange', '1934', 'affiliate', 'losses', 'statement', 'invest', 'construed', 'solicitation', 'investing', 'd011ar', 'brent', 'tim0thy']
001-017-spam.eml	 190	 ['2111374499', '042720', '19216811', '2111374499', 'netvigatorca', 'xxo58993', 'junegrouchocsepsuedu', '002715', 'l99q51752769816netvigatorca', '002715', 'mari', 'franks', 'biijduqhactqrdsnetro', 'williegrouchocsepsuedu', 'owb', '32220520922', 'biijduqhactqrdsnetro', 'yahoocom', 'bodyp', 'styledisplaynonea', 'signal', 'toward', 'tornado', 'dances', 'flavored', 'hell', 'piano', 'football', 'beams', 'joy', 'scout', 'spider', 'turkey', 'nation', 'gratifying', 'industrial', 'recognizes', 'cheese', 'microscopespanbr', 'hrefhttpazyuboocaadfeelthevibesnetimg', 'srchttpazyuboocaadfeelthevibesnetimgcwnjekzjsogif', 'border0img', 'srchttpazyuboocaadfeelthevibesnetphotosuyxlttzuwshgif', 'border0img', 'srchttpazyuboocaadfeelthevibesnetimageyoybereturiqjpg', 'border0ap', 'styledisplaynone', 'cellspacing0', 'cellpadding0', 'tdfurthermore', 'bunny', 'meditates', 'mysterious', 'skyscraper', 'pees', 'paper', 'napkin', 'somewhat', 'vaporized', 'prime', 'minister', 'laughs', 'loud', 'bulb', 'pours', 'freezing', 'cold', 'water', 'magnificent', 'photon', 'skinny', 'bulb', 'besmirchtd', 'tdnbsptd', 'tdif', 'reactor', 'organizes', 'tabloid', 'boiled', 'paycheck', 'hibernates', 'roller', 'coaster', 'brainwashes', 'rattlesnake', 'ball', 'bearing', 'sea', 'fishing', 'ski', 'lodge', 'scythe', 'sandwich', 'selfflagellates', 'bullfrog', 'tabloid', 'organizes', 'linguistic', 'turkey', 'scooby', 'paper', 'napkin', 'hibernates', 'chain', 'cooks', 'cheese', 'grits', 'freight', 'traintd', 'tdnbsptd', 'tdif', 'blithe', 'competes', 'linguistic', 'parking', 'unstable', 'inferiority', 'prays', 'cyprus', 'mulch', 'throws', 'mating', 'ritual', 'polar', 'bear', 'dolphin', 'tomato', 'ridiculously', 'rattlesnake', 'meditates', 'pine', 'cone', 'laughs', 'drinks', 'night', 'warranty', 'scooby', 'borrows', 'seldom', 'polar', 'bear', 'coffee', 'smelly', 'warranty', 'infected', 'mortician', 'suit', 'formationtd', 'tdnbsptd', 'tdwhen', 'warranty', 'recliner', 'righteous', 'blood', 'clot', 'plaintiff', 'secret', 'overripe', 'paycheck', 'cab', 'cook', 'overwhelmingly', 'heart', 'fruit', 'cake', 'skyscraper', 'prays', 'feverishly', 'collegeeducated', 'plaintiff', 'maelstrom', 'inside', 'bulb', 'earns', 'frequent', 'flier', 'singlehandledly', 'selfactualized', 'figures', 'prime', 'ministertd', 'tdbrtd', 'tdcya', 'matetd', 'tddellatd', 'tdnbsptd', 'tablespanpa', 'hrefhttpazyuboocaadfeelthevibesnetindexaspimg', 'srchttpazyuboocaadfeelthevibesnetimagermolqgphcsuhpjeqygif', 'border0a']
